,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
488,Beto Pereira,PSDB,01/01/21,"9500,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
489,Beto Pereira,PSDB,01/01/21,"3094,08",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
490,Bia Cavassa,PSDB,01/01/21,"605,82",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
491,Rose Modesto,PSDB,01/01/21,"10515,25",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
492,Rose Modesto,PSDB,01/01/21,"2556,06",PASSAGEM AÉREA - REEMBOLSO
493,Beto Pereira,PSDB,01/01/21,"-520,03",PASSAGEM AÉREA - SIGEPA
494,Beto Pereira,PSDB,01/01/21,"1136,46",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
495,Beto Pereira,PSDB,01/01/21,"358,12",TELEFONIA
496,Bia Cavassa,PSDB,01/01/21,"176,41",TELEFONIA
497,Rose Modesto,PSDB,01/01/21,"79,99",TELEFONIA
498,Beto Pereira,PSDB,01/02/19,"4726,91",COMBUSTÍVEIS E LUBRIFICANTES.
499,Bia Cavassa,PSDB,01/02/19,"2815,36",COMBUSTÍVEIS E LUBRIFICANTES.
500,Rose Modesto,PSDB,01/02/19,"682,4300000000001",COMBUSTÍVEIS E LUBRIFICANTES.
501,Beto Pereira,PSDB,01/02/19,"10290,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
502,Bia Cavassa,PSDB,01/02/19,"21100,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
503,Rose Modesto,PSDB,01/02/19,"10000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
504,Beto Pereira,PSDB,01/02/19,"66,49",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
505,Bia Cavassa,PSDB,01/02/19,"131,68",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
506,Beto Pereira,PSDB,01/02/19,"805,0","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL."
507,Beto Pereira,PSDB,01/02/19,"8500,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
